Strategy report
Symbol: LGIH
Work Time: 11/11/13 - 12/23/24


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$13.47;11/11/13;$1.46;($0.09);-1.0;
2;kg_EveryTickSOHLCP(SOHLCP|LGIH|13|13.79|12.28|13.56|13.04);Buy to Open;1.0;$12.01;11/11/13;;$1.46;0.0;
3;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$13.79;11/18/13;$1.51;$1.34;-1.0;
4;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.6|14.46|13.23|13.91|13.56);Buy to Open;1.0;$12.28;11/18/13;;$2.97;0.0;
5;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.46;11/25/13;$1.23;$2.03;-1.0;
6;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.8|16.0295|13.72|15.4|13.91);Buy to Open;1.0;$13.23;11/25/13;;$4.20;0.0;
7;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.03;12/2/13;$2.31;$3.28;-1.0;
8;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.43|17.5|14.67|16.95|15.4);Buy to Open;1.0;$13.72;12/2/13;;$6.51;0.0;
9;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.50;12/9/13;$2.83;$7.40;-1.0;
10;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.34|17.5846|16.35|16.61|16.95);Buy to Open;1.0;$14.67;12/9/13;;$9.34;0.0;
11;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.58;12/16/13;$1.23;$8.69;-1.0;
12;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.9|18.45|16.36|18.23|16.61);Buy to Open;1.0;$16.35;12/16/13;;$10.57;0.0;
13;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.45;12/23/13;$2.09;$10.92;-1.0;
14;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.52|18.85|17.81|18.1|18.23);Buy to Open;1.0;$16.36;12/23/13;;$12.66;0.0;
15;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.85;12/30/13;$1.04;$13.60;-1.0;
16;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.16|18.16|17.31|17.91|18.1);Buy to Open;1.0;$17.81;12/30/13;;$13.70;0.0;
17;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.16;1/6/14;$0.85;$14.05;-1.0;
18;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.04|18.1|17.41|17.81|17.91);Buy to Open;1.0;$17.31;1/6/14;;$14.55;0.0;
19;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.10;1/13/14;$0.69;$13.74;-1.0;
20;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.8|19.27|17.53|18.91|17.81);Buy to Open;1.0;$17.41;1/13/14;;$15.24;0.0;
21;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.27;1/20/14;$1.74;$17.06;-1.0;
22;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.5|20.75|17.25|17.45|18.91);Buy to Open;1.0;$17.53;1/20/14;;$16.98;0.0;
23;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.75;1/27/14;$3.50;$20.31;-1.0;
24;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.42|17.91|16.4836|17.42|17.45);Buy to Open;1.0;$17.25;1/27/14;;$20.48;0.0;
25;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.91;2/3/14;$1.43;$21.87;-1.0;
26;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.43|18.15|16.21|16.52|17.42);Buy to Open;1.0;$16.48;2/3/14;;$21.91;0.0;
27;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.15;2/10/14;$1.94;$23.48;-1.0;
28;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.42|17.2|15.76|16.58|16.52);Buy to Open;1.0;$16.21;2/10/14;;$23.85;0.0;
29;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.20;2/17/14;$1.44;$24.89;-1.0;
30;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.77|16.97|15.76|16.16|16.58);Buy to Open;1.0;$15.76;2/17/14;;$25.29;0.0;
31;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.97;2/24/14;$1.21;$25.26;-1.0;
32;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.16|17.2|15.82|17|16.16);Buy to Open;1.0;$15.76;2/24/14;;$26.50;0.0;
33;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.20;3/3/14;$1.38;$27.24;-1.0;
34;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.89|17.19|16|16.46|17);Buy to Open;1.0;$15.82;3/3/14;;$27.88;0.0;
35;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.19;3/10/14;$1.19;$28.66;-1.0;
36;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.37|17.31|16.21|16.41|16.46);Buy to Open;1.0;$16.00;3/10/14;;$29.07;0.0;
37;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.31;3/17/14;$1.10;$28.54;-1.0;
38;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.45|18.25|16.258|17.84|16.41);Buy to Open;1.0;$16.21;3/17/14;;$30.17;0.0;
39;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.25;3/24/14;$1.99;$30.33;-1.0;
40;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.85|18.15|16.57|18.09|17.84);Buy to Open;1.0;$16.26;3/24/14;;$32.16;0.0;
41;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.15;3/31/14;$1.58;$33.12;-1.0;
42;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.12|18.12|16.35|17.19|18.09);Buy to Open;1.0;$16.57;3/31/14;;$33.74;0.0;
43;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.12;4/7/14;$1.77;$35.36;-1.0;
44;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.24|17.44|16.41|16.5|17.19);Buy to Open;1.0;$16.35;4/7/14;;$35.51;0.0;
45;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.44;4/14/14;$1.03;$37.00;-1.0;
46;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.61|16.87|15.71|15.95|16.5);Buy to Open;1.0;$16.41;4/14/14;;$36.54;0.0;
47;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.87;4/21/14;$1.16;$38.42;-1.0;
48;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.94|16.17|14.77|14.99|15.95);Buy to Open;1.0;$15.71;4/21/14;;$37.70;0.0;
49;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.17;4/28/14;$1.40;$39.12;-1.0;
50;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.02|15.82|14.21|14.75|14.99);Buy to Open;1.0;$14.77;4/28/14;;$39.10;0.0;
51;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.82;5/5/14;$1.61;$40.33;-1.0;
52;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.7|15.14|13.8|14.59|14.75);Buy to Open;1.0;$14.21;5/5/14;;$40.71;0.0;
53;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.14;5/12/14;$1.34;$39.07;-1.0;
54;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.71|17.045|14.53|16.78|14.59);Buy to Open;1.0;$13.80;5/12/14;;$42.05;0.0;
55;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.05;5/19/14;$2.52;$43.09;-1.0;
56;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.75|19.3|15.4|16.01|16.78);Buy to Open;1.0;$14.53;5/19/14;;$44.57;0.0;
57;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.30;5/26/14;$3.90;$47.91;-1.0;
58;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.1|16.36|15.76|15.96|16.01);Buy to Open;1.0;$15.40;5/26/14;;$48.47;0.0;
59;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.36;6/2/14;$0.60;$46.87;-1.0;
60;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.94|18.15|15.61|17.96|15.96);Buy to Open;1.0;$15.76;6/2/14;;$49.07;0.0;
61;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.15;6/9/14;$2.54;$49.58;-1.0;
62;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.88|19.23|17.5232|17.64|17.96);Buy to Open;1.0;$15.61;6/9/14;;$51.61;0.0;
63;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.23;6/16/14;$1.71;$52.52;-1.0;
64;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.59|18.99|17.59|18.32|17.64);Buy to Open;1.0;$17.52;6/16/14;;$53.31;0.0;
65;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.99;6/23/14;$1.40;$53.62;-1.0;
66;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.39|19.0499|18.1|18.685|18.32);Buy to Open;1.0;$17.59;6/23/14;;$54.71;0.0;
67;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.05;6/30/14;$0.95;$53.68;-1.0;
68;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.75|20.83|18.17|20.08|18.685);Buy to Open;1.0;$18.10;6/30/14;;$55.66;0.0;
69;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.83;7/7/14;$2.66;$57.08;-1.0;
70;kg_EveryTickSOHLCP(SOHLCP|LGIH|20.05|20.74|17.85|19.41|20.08);Buy to Open;1.0;$18.17;7/7/14;;$58.32;0.0;
71;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.74;7/14/14;$2.89;$58.94;-1.0;
72;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.8|22.21|19.25|20.12|19.41);Buy to Open;1.0;$17.85;7/14/14;;$61.21;0.0;
73;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$22.21;7/21/14;$2.96;$64.51;-1.0;
74;kg_EveryTickSOHLCP(SOHLCP|LGIH|20.11|20.55|18.84|18.91|20.12);Buy to Open;1.0;$19.25;7/21/14;;$64.17;0.0;
75;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.55;7/28/14;$1.71;$65.91;-1.0;
76;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.97|19.45|18.01|18.81|18.91);Buy to Open;1.0;$18.84;7/28/14;;$65.88;0.0;
77;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.45;8/4/14;$1.44;$66.43;-1.0;
78;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.82|19.14|18.26|18.9|18.81);Buy to Open;1.0;$18.01;8/4/14;;$67.32;0.0;
79;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.14;8/11/14;$0.88;$67.27;-1.0;
80;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.04|21.092|18.33|19.19|18.9);Buy to Open;1.0;$18.26;8/11/14;;$68.20;0.0;
81;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$21.09;8/18/14;$2.76;$69.32;-1.0;
82;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.34|20.12|19.215|19.98|19.19);Buy to Open;1.0;$18.33;8/18/14;;$70.97;0.0;
83;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.12;8/25/14;$0.91;$71.97;-1.0;
84;kg_EveryTickSOHLCP(SOHLCP|LGIH|20.12|20.27|18.92|19.12|19.98);Buy to Open;1.0;$19.22;8/25/14;;$71.87;0.0;
85;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.27;9/1/14;$1.35;$73.04;-1.0;
86;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.18|19.56|18.73|19.1|19.12);Buy to Open;1.0;$18.92;9/1/14;;$73.22;0.0;
87;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.56;9/8/14;$0.83;$73.48;-1.0;
88;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.15|19.93|18.93|19.3|19.1);Buy to Open;1.0;$18.73;9/8/14;;$74.05;0.0;
89;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.93;9/15/14;$1.00;$74.70;-1.0;
90;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.25|19.975|18.78|19.28|19.3);Buy to Open;1.0;$18.93;9/15/14;;$75.05;0.0;
91;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.98;9/22/14;$1.20;$75.99;-1.0;
92;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.25|19.44|18.35|19.04|19.28);Buy to Open;1.0;$18.78;9/22/14;;$76.25;0.0;
93;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.44;9/29/14;$1.09;$77.10;-1.0;
94;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.76|19.338|17.07|18.59|19.04);Buy to Open;1.0;$18.35;9/29/14;;$77.34;0.0;
95;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.34;10/6/14;$2.27;$79.37;-1.0;
96;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.57|18.74|17.29|17.3|18.59);Buy to Open;1.0;$17.07;10/6/14;;$79.60;0.0;
97;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.74;10/13/14;$1.45;$79.23;-1.0;
98;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.53|19.25|17.08|19.11|17.3);Buy to Open;1.0;$17.29;10/13/14;;$81.05;0.0;
99;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.25;10/20/14;$2.17;$81.82;-1.0;
100;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.95|19.3|18.26|18.48|19.11);Buy to Open;1.0;$17.08;10/20/14;;$83.22;0.0;
101;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.30;10/27/14;$1.04;$83.10;-1.0;
102;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.39|19.72|18.29|19.42|18.48);Buy to Open;1.0;$18.26;10/27/14;;$84.26;0.0;
103;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.72;11/3/14;$1.43;$84.53;-1.0;
104;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.5|19.63|18.34|19.45|19.42);Buy to Open;1.0;$18.29;11/3/14;;$85.69;0.0;
105;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.63;11/10/14;$1.29;$87.24;-1.0;
106;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.43|19.66|17.3632|18.08|19.45);Buy to Open;1.0;$18.34;11/10/14;;$86.98;0.0;
107;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.66;11/17/14;$2.30;$90.41;-1.0;
108;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.8|17.82|15.78|16.23|18.08);Buy to Open;1.0;$17.36;11/17/14;;$89.28;0.0;
109;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.82;11/24/14;$2.04;$91.12;-1.0;
110;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.36|16.74|15.88|15.98|16.23);Buy to Open;1.0;$15.78;11/24/14;;$91.32;0.0;
111;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.74;12/1/14;$0.86;$93.24;-1.0;
112;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.95|15.98|14.21|14.82|15.98);Buy to Open;1.0;$15.88;12/1/14;;$92.18;0.0;
113;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.98;12/8/14;$1.77;$94.26;-1.0;
114;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.74|15.68|13.5|13.9|14.82);Buy to Open;1.0;$14.21;12/8/14;;$93.95;0.0;
115;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.68;12/15/14;$2.18;$94.69;-1.0;
116;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.99|15.075|13.78|14.94|13.9);Buy to Open;1.0;$13.50;12/15/14;;$96.13;0.0;
117;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.08;12/22/14;$1.30;$96.49;-1.0;
118;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.93|15.5|14.43|14.72|14.94);Buy to Open;1.0;$13.78;12/22/14;;$97.43;0.0;
119;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.50;12/29/14;$1.07;$98.26;-1.0;
120;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.75|15.538|14.3|14.67|14.72);Buy to Open;1.0;$14.43;12/29/14;;$98.50;0.0;
121;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.54;1/5/15;$1.24;$99.78;-1.0;
122;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.11|15.5299|13.96|14.25|14.67);Buy to Open;1.0;$14.30;1/5/15;;$99.73;0.0;
123;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.53;1/12/15;$1.57;$101.95;-1.0;
124;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.17|14.43|12.21|13.31|14.25);Buy to Open;1.0;$13.96;1/12/15;;$101.30;0.0;
125;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.43;1/19/15;$2.22;$102.77;-1.0;
126;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.35|14.06|12.31|12.96|13.31);Buy to Open;1.0;$12.21;1/19/15;;$103.52;0.0;
127;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.06;1/26/15;$1.75;$104.41;-1.0;
128;kg_EveryTickSOHLCP(SOHLCP|LGIH|12.87|14|12.87|13.17|12.96);Buy to Open;1.0;$12.31;1/26/15;;$105.27;0.0;
129;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.00;2/2/15;$1.13;$105.42;-1.0;
130;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.25|14.02|12.84|13.85|13.17);Buy to Open;1.0;$12.87;2/2/15;;$106.40;0.0;
131;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.02;2/9/15;$1.18;$107.04;-1.0;
132;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.85|14.13|13.09|13.38|13.85);Buy to Open;1.0;$12.84;2/9/15;;$107.58;0.0;
133;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.13;2/16/15;$1.04;$108.01;-1.0;
134;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.44|14.19|13.08|13.7|13.38);Buy to Open;1.0;$13.09;2/16/15;;$108.62;0.0;
135;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.19;2/23/15;$1.11;$108.65;-1.0;
136;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.7|14.3499|13.32|14.16|13.7);Buy to Open;1.0;$13.08;2/23/15;;$109.73;0.0;
137;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.35;3/2/15;$1.03;$110.42;-1.0;
138;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.18|14.29|13.35|13.66|14.16);Buy to Open;1.0;$13.32;3/2/15;;$110.76;0.0;
139;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.29;3/9/15;$0.94;$110.46;-1.0;
140;kg_EveryTickSOHLCP(SOHLCP|LGIH|13.63|14.72|13|14.59|13.66);Buy to Open;1.0;$13.35;3/9/15;;$111.70;0.0;
141;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$14.72;3/16/15;$1.72;$111.53;-1.0;
142;kg_EveryTickSOHLCP(SOHLCP|LGIH|14.64|15.02|14.04|14.89|14.59);Buy to Open;1.0;$13.00;3/16/15;;$113.42;0.0;
143;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$15.02;3/23/15;$0.98;$112.40;-1.0;
144;kg_EveryTickSOHLCP(SOHLCP|LGIH|15.38|16.06|14.97|16.04|14.89);Buy to Open;1.0;$14.04;3/23/15;;$114.40;0.0;
145;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$16.06;3/30/15;$1.09;$112.86;-1.0;
146;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.16|17.64|16.16|17.6|16.04);Buy to Open;1.0;$14.97;3/30/15;;$115.49;0.0;
147;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.64;4/6/15;$1.48;$115.94;-1.0;
148;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.6|17.932|16.9|17.19|17.6);Buy to Open;1.0;$16.16;4/6/15;;$116.97;0.0;
149;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.93;4/13/15;$1.03;$117.68;-1.0;
150;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.21|18.05|16.72|17.23|17.19);Buy to Open;1.0;$16.90;4/13/15;;$118.01;0.0;
151;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.05;4/20/15;$1.33;$118.64;-1.0;
152;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.28|17.77|16.88|17.42|17.23);Buy to Open;1.0;$16.72;4/20/15;;$119.34;0.0;
153;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.77;4/27/15;$0.89;$120.33;-1.0;
154;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.57|17.73|16.27|16.78|17.42);Buy to Open;1.0;$16.88;4/27/15;;$120.23;0.0;
155;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$17.73;5/4/15;$1.46;$120.67;-1.0;
156;kg_EveryTickSOHLCP(SOHLCP|LGIH|16.72|18|16.472|17.29|16.78);Buy to Open;1.0;$16.27;5/4/15;;$121.69;0.0;
157;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.00;5/11/15;$1.53;$121.94;-1.0;
158;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.35|18.34|17.22|17.75|17.29);Buy to Open;1.0;$16.47;5/11/15;;$123.21;0.0;
159;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.34;5/18/15;$1.12;$123.69;-1.0;
160;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.77|18.08|17.4|17.86|17.75);Buy to Open;1.0;$17.22;5/18/15;;$124.33;0.0;
161;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.08;5/25/15;$0.68;$123.56;-1.0;
162;kg_EveryTickSOHLCP(SOHLCP|LGIH|17.86|19.13|17.52|18.85|17.86);Buy to Open;1.0;$17.40;5/25/15;;$125.01;0.0;
163;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.13;6/1/15;$1.61;$125.63;-1.0;
164;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.08|19.095|17.9401|18.51|18.85);Buy to Open;1.0;$17.52;6/1/15;;$126.62;0.0;
165;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.10;6/8/15;$1.15;$127.20;-1.0;
166;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.52|18.61|17.51|18.52|18.51);Buy to Open;1.0;$17.94;6/8/15;;$127.78;0.0;
167;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$18.61;6/15/15;$1.10;$127.25;-1.0;
168;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.46|19.63|18.11|19.14|18.52);Buy to Open;1.0;$17.51;6/15/15;;$128.88;0.0;
169;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.63;6/22/15;$1.52;$128.59;-1.0;
170;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.32|20.1|18.96|19.92|19.14);Buy to Open;1.0;$18.11;6/22/15;;$130.40;0.0;
171;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$20.10;6/29/15;$1.14;$131.69;-1.0;
172;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.74|19.97|18.51|18.81|19.92);Buy to Open;1.0;$18.96;6/29/15;;$131.54;0.0;
173;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.97;7/6/15;$1.46;$132.48;-1.0;
174;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.69|19.09|17.97|19.03|18.81);Buy to Open;1.0;$18.51;7/6/15;;$133.00;0.0;
175;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.09;7/13/15;$1.12;$133.55;-1.0;
176;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.12|19.99|18.15|18.54|19.03);Buy to Open;1.0;$17.97;7/13/15;;$134.12;0.0;
177;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.99;7/20/15;$1.84;$135.64;-1.0;
178;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.48|19.9099|17.85|18.47|18.54);Buy to Open;1.0;$18.15;7/20/15;;$135.96;0.0;
179;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.91;7/27/15;$2.06;$136.33;-1.0;
180;kg_EveryTickSOHLCP(SOHLCP|LGIH|18.65|19.82|18.12|19.54|18.47);Buy to Open;1.0;$17.85;7/27/15;;$138.02;0.0;
181;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$19.82;8/3/15;$1.70;$134.53;-1.0;
182;kg_EveryTickSOHLCP(SOHLCP|LGIH|19.52|24.5|18.62|23.31|19.54);Buy to Open;1.0;$18.12;8/3/15;;$139.72;0.0;
183;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$24.50;8/10/15;$5.88;$137.95;-1.0;
184;kg_EveryTickSOHLCP(SOHLCP|LGIH|23.65|26.53|23.38|26.27|23.31);Buy to Open;1.0;$18.62;8/10/15;;$145.60;0.0;
185;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.53;8/17/15;$3.15;$147.23;-1.0;
186;kg_EveryTickSOHLCP(SOHLCP|LGIH|26.28|26.75|24.2|24.9|26.27);Buy to Open;1.0;$23.38;8/17/15;;$148.75;0.0;
187;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$26.75;8/24/15;$2.55;$150.65;-1.0;
188;kg_EveryTickSOHLCP(SOHLCP|LGIH|23.55|25.1875|23|24.85|24.9);Buy to Open;1.0;$24.20;8/24/15;;$151.30;0.0;
189;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$25.19;8/31/15;$2.19;$149.55;-1.0;
190;kg_EveryTickSOHLCP(SOHLCP|LGIH|24.78|27.72|24.58|26.94|24.85);Buy to Open;1.0;$23.00;8/31/15;;$153.49;0.0;
191;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$27.72;9/7/15;$3.14;$152.81;-1.0;
192;kg_EveryTickSOHLCP(SOHLCP|LGIH|27.24|29.63|25.8521|28.4|26.94);Buy to Open;1.0;$24.58;9/7/15;;$156.63;0.0;
193;kg_EveryTickSOHLCP(SellClose);Sell to Close;-1.0;$29.63;9/14/15;$3.78;$157.29;-1.0;
194;kg_EveryTickSOHLCP(SOHLCP|LGIH|28.45|30.17|27.9194|28.97|28.4);Buy to Open;1.0;$25.85;9/14/15;;$160.40;0.0;
